iter	RMSE
263	0.9355908298
264	0.9349884841
265	0.9347949401
266	0.9345225535
267	0.9341680992
268	0.9338709389
269	0.933212994
270	0.9329399928
271	0.9327176154
272	0.9324334774
273	0.9322864265
274	0.9321029308
275	0.9316353672
276	0.931420254
277	0.931095305
278	0.9307783135
279	0.9303569724
280	0.9300480422
281	0.9297476542
282	0.9294308454
283	0.9292062182
284	0.9289685478
285	0.9287834906
286	0.9286036946
287	0.9284216421
288	0.9282042289
289	0.9279091458
290	0.9276241989
291	0.9273906357
292	0.9271195707
293	0.9263811698
294	0.9260560803
295	0.9255066257
296	0.9253170206
297	0.9251516549
298	0.9246297557
299	0.9244083116
300	0.9242460107
301	0.9240488058
302	0.923835542
303	0.9235503575
304	0.9232992897
305	0.9231368498
306	0.9226101974
307	0.9223697887
308	0.92204689
309	0.9218274846
310	0.9216099484
311	0.9213755645
312	0.9205951565
313	0.9203258798
314	0.9200074881
315	0.9198211199
316	0.9192336321
317	0.9190615973
318	0.9188444832
319	0.9186486476
320	0.9184888615
321	0.9182664227
322	0.9176198043
323	0.9172034368
324	0.9169670146
325	0.9167634388
326	0.9165745108
327	0.9160431225
328	0.9153232265
329	0.9150501509
330	0.9148102775
331	0.9146104865
332	0.9143650204
333	0.9141385178
334	0.9140030617
335	0.9137373372
336	0.9136589881
337	0.9133316231
338	0.9127596457
339	0.9125703392
340	0.9123277734
341	0.9121315457
342	0.911913804
343	0.9116617582
344	0.9115458569
345	0.9112806915
346	0.911063816
347	0.9108720469
348	0.9107364164
349	0.910556015
350	0.9102941704
351	0.9099430871
352	0.9097623673
353	0.9095060802
354	0.9092409044
355	0.9090830532
356	0.9088525856
357	0.9086511628
358	0.9084221881
359	0.9082933498
360	0.9074118714
361	0.9071298277
362	0.9064148197
363	0.9062426324
364	0.9060573865
365	0.9058636769
366	0.9050037823
367	0.9046963991
368	0.9045384186
369	0.9042767536
370	0.9039713216
371	0.903655592
372	0.9031507635
373	0.9029390614
374	0.902829531
375	0.9026585798
376	0.9024555293
377	0.9023265658
378	0.9021272149
379	0.9019266525
380	0.90175655
381	0.9012416304
382	0.9008548637
383	0.900742066
384	0.9003651362
385	0.9001724047
386	0.8999789123
387	0.8997869625
388	0.8995913769
389	0.8987648126
390	0.8985140256
391	0.8983372857
392	0.8981479324
393	0.897711176
394	0.8974348472
395	0.8966972749
396	0.8964658454
397	0.8963448621
398	0.8961186861
399	0.8959763024
400	0.8957357562
401	0.8955310631
402	0.8952891247
403	0.8951476015
404	0.8949752735
405	0.8948064374
406	0.8945994581
407	0.8942812614
408	0.8940270155
409	0.8938647871
410	0.8936217187
411	0.8934096606
412	0.8932396882
413	0.892940322
414	0.8921581067
415	0.8919627473
416	0.8917767868
417	0.8915864859
418	0.8914663095
419	0.8913570522
420	0.8912116987
421	0.8909940954
422	0.8907954446
423	0.8906307376
424	0.8904714459
425	0.8902326837
426	0.8899102525
427	0.8897380282
428	0.8895199506
429	0.8892904106
430	0.8890663754
431	0.8888894822
432	0.8887334404
433	0.888290357
434	0.888091284
435	0.8879608392
436	0.8878342107
437	0.8875764939
438	0.8874090403
439	0.8870844817
440	0.8868529358
441	0.8866980329
442	0.8864085844
443	0.8861671436
444	0.8859842238
445	0.8857566277
446	0.8855577737
447	0.8852437199
448	0.8851241254
449	0.8849461639
450	0.8847760286
451	0.8846317637
452	0.8844476073
453	0.8843221051
454	0.8840665692
455	0.8838943411
456	0.8835966856
457	0.8834649879
458	0.883312519
459	0.8829786491
460	0.8826868906
461	0.882408671
462	0.8820730631
463	0.8818787212
464	0.881442963
465	0.8813188356
466	0.8811974518
467	0.8809895426
468	0.8808663554
469	0.8805888934
470	0.8804350986
471	0.8803089586
472	0.8801551609
473	0.879941766
474	0.8796419734
475	0.8794654382
476	0.879365818
477	0.879182941
478	0.8790507583
479	0.878862875
480	0.8787764489
481	0.8786184955
482	0.8784027082
483	0.8783221218
484	0.8781160428
485	0.8779724696
486	0.8778083666
487	0.8776425584
488	0.8774760312
489	0.8773505606
490	0.8772305135
491	0.8767757725
492	0.8766025571
493	0.8764298897
494	0.8762564213
495	0.8760817255
496	0.8758939843
497	0.875704338
498	0.8755571088
499	0.8753700221
500	0.8751682203
501	0.8749878648
502	0.8747355714
503	0.8745707945
504	0.8744539107
505	0.8743398056
506	0.874079252
507	0.8735858114
508	0.8734887538
509	0.8733531622
510	0.8732180905
511	0.8729543102
512	0.8727854349
513	0.8725006526
514	0.8723888374
515	0.8722357872
516	0.8720656864
517	0.8719493911
518	0.8718273092
519	0.8716674784
520	0.8715063043
521	0.8710236662
522	0.8706790545
523	0.8705462511
524	0.8703936182
525	0.8702694961
526	0.8700557051
527	0.8697708209
528	0.869565428
529	0.8694436813
530	0.8691876395
531	0.8690245477
532	0.8688857004
533	0.8687860701
534	0.8686459217
535	0.8684240037
536	0.8682998482
537	0.8678331875
538	0.8677153148
539	0.8675564806
540	0.8674268612
541	0.8672787339
542	0.8671246817
543	0.8668579448
544	0.8666773475
545	0.8665560926
546	0.866439036
547	0.8661386865
548	0.8659289742
549	0.8656741406
550	0.865545128
551	0.8653938365
552	0.8653129768
553	0.8650873304
554	0.8649546372
555	0.8647993001
556	0.8646617478
557	0.8645450072
558	0.8643647981
559	0.8642530796
560	0.8641649475
561	0.8640501514
562	0.8639615185
563	0.8637975552
564	0.8636706397
565	0.8635231421
566	0.8633521071
567	0.8632408709
568	0.8630872724
569	0.8629675625
570	0.8628184953
571	0.8627121227
572	0.8625785031
573	0.8624243032
574	0.8623177309
575	0.8619600652
576	0.8618601443
577	0.8616889897
578	0.8615585157
579	0.8614238614
580	0.8612999498
581	0.8611183718
582	0.8610412295
583	0.8607674758
584	0.8606109854
585	0.8604436264
586	0.8602901143
587	0.8601378816
588	0.8600311328
589	0.8598884724
590	0.8597582168
591	0.8596307796
592	0.8595152059
593	0.8594502932
594	0.8592223096
595	0.8590568644
596	0.8589400271
597	0.8586586619
598	0.8585570556
599	0.8584551205
600	0.8583027469
601	0.8582162832
602	0.8580988467
603	0.8579633149
604	0.8576984341
605	0.8576324897
606	0.8575047078
607	0.8574216895
608	0.8572926411
609	0.8571305594
610	0.8569937583
611	0.8568826159
612	0.856772729
613	0.8566268595
614	0.8564390937
615	0.8563434029
616	0.8561879907
617	0.8558856469
618	0.8557057771
619	0.8555146141
620	0.8552963721
621	0.8550793243
622	0.854921438
623	0.8547840413
624	0.8546172721
625	0.8545108084
626	0.8542787163
627	0.8540982541
628	0.8539943749
629	0.8538728708
630	0.8537558115
631	0.8536153541
632	0.8534761717
633	0.8533620932
634	0.85321294
635	0.8531265849
636	0.8530447874
637	0.8529306044
638	0.8526063507
639	0.8524790288
640	0.8523790263
641	0.8522649959
642	0.852137332
643	0.8519871984
644	0.851853739
645	0.8517340766
646	0.8515917497
647	0.8514852431
648	0.851219305
649	0.8511263666
650	0.8509895129
651	0.8508498115
652	0.8506698305
653	0.8505770081
654	0.8504370341
655	0.8503022045
656	0.8501832075
657	0.8500958169
658	0.8499703054
659	0.849853138
660	0.8497024209
661	0.849551864
662	0.8493899015
663	0.8492769619
664	0.8491306972
665	0.8490197732
666	0.8489121261
667	0.8488104058
668	0.8487330228
669	0.8485317588
670	0.8484966026
671	0.8483694182
672	0.8480468445
673	0.8479115238
674	0.8477565218
675	0.8476434465
676	0.8475496916
677	0.8474397521
678	0.8473095352
679	0.8472337741
680	0.8471078614
681	0.8470094751
682	0.8468907185
683	0.8468162904
684	0.846713033
685	0.8465855085
686	0.8464859939
687	0.8464005752
688	0.8462497816
689	0.8460791613
690	0.8458000655
691	0.8456268962
692	0.8454758213
693	0.8453898898
694	0.8453058236
695	0.844962207
696	0.8448175593
697	0.8447023724
698	0.8445622926
699	0.8444233926
700	0.8442502186
701	0.844170059
702	0.8440214084
703	0.8439183119
704	0.8438373088
705	0.843678978
706	0.8435691559
707	0.8432704084
708	0.8431372529
709	0.8430305227
710	0.842893564
711	0.8427047496
712	0.8425692982
713	0.8425146165
714	0.8424103209
715	0.842249726
716	0.8421064767
717	0.8420047695
718	0.8419009296
719	0.8416957899
720	0.8415814202
721	0.8414968434
722	0.8413735084
723	0.8412757028
724	0.8411635702
725	0.8410711055
726	0.840927351
727	0.840615238
728	0.8403061523
729	0.8402221357
730	0.8401041993
731	0.8399820932
732	0.8398673878
733	0.8397370019
734	0.839622468
735	0.8394718459
736	0.8390667275
737	0.838961
738	0.8387581354
739	0.8385006103
740	0.8383920433
741	0.8382929707
742	0.8381695492
743	0.8380105556
744	0.8378590702
745	0.8377488133
746	0.837632023
747	0.8375061692
748	0.8374054897
749	0.8370580311
750	0.8369540798
751	0.836759677
752	0.8366492312
753	0.8365384254
754	0.8364655246
755	0.8362919014
756	0.8361592994
757	0.8360476167
758	0.8359718062
759	0.8358080548
760	0.8356949213
761	0.8356250806
762	0.8355215774
763	0.8354352234
764	0.8352949666
765	0.8351403798
766	0.8350334762
767	0.8349422304
768	0.8348912931
769	0.8348297837
770	0.834741278
771	0.834611192
772	0.8344755442
773	0.834421545
774	0.8342844288
775	0.8341349479
776	0.8340021544
777	0.8338816478
778	0.8337261796
779	0.8335423679
780	0.8334202866
781	0.83330518
782	0.8332205355
783	0.833087677
784	0.8329794231
785	0.8328901598
786	0.832593578
787	0.8324897216
788	0.8323841368
789	0.8322867416
790	0.8321575486
791	0.8320384169
792	0.8319561454
793	0.8318704265
794	0.8316901788
795	0.8316136579
796	0.831489842
797	0.8313565174
798	0.831250759
799	0.8311324365
800	0.8309964631
801	0.8309047827
802	0.8307482956
803	0.8306631564
804	0.83047409
805	0.8303208034
806	0.8301908562
807	0.829881633
808	0.8298015454
809	0.8297103654
810	0.8296183539
811	0.8295048828
812	0.8294381451
813	0.8293499334
814	0.8292384806
815	0.8290922554
816	0.8290032674
817	0.828926763
818	0.8288377084
819	0.8286752418
820	0.828574711
821	0.8284558036
822	0.8282029242
823	0.8281049728
824	0.8280209042
825	0.8279067042
826	0.8277141941
827	0.82764443
828	0.8274146975
829	0.827266852
830	0.8272004843
831	0.8271237173
832	0.8270410478
833	0.8269090218
834	0.8267861504
835	0.8266787948
836	0.8266009132
837	0.8264994858
838	0.8264049201
839	0.826261415
840	0.8261716958
841	0.8260900811
842	0.8259755087
843	0.825905833
844	0.8257971665
845	0.8256524042
846	0.8255711841
847	0.8253675357
848	0.8252736696
849	0.8251770432
850	0.8248665785
851	0.824755297
852	0.8246727805
853	0.8244348153
854	0.8243318296
855	0.8242478398
856	0.8240972895
857	0.8240149188
858	0.8239066627
859	0.8238109831
860	0.8236484903
861	0.8235562418
862	0.8234185012
863	0.8233186564
864	0.8232025422
865	0.8230845848
866	0.8229303528
867	0.822614748
868	0.8225757902
869	0.8224215332
870	0.8223080298
871	0.8222408555
872	0.8221910124
873	0.8220579231
874	0.822010334
875	0.8218630237
876	0.8217606741
877	0.8216524715
878	0.8215432164
879	0.8212872086
880	0.8212048361
881	0.8211572602
882	0.821050882
883	0.8209159819
884	0.8207998967
885	0.8207080128
886	0.8205622282
887	0.8204660243
888	0.8203902961
889	0.8203090968
890	0.8201921918
891	0.8200605663
892	0.8199873798
893	0.8197770949
894	0.819678227
895	0.8195106307
896	0.8194254953
897	0.8193464264
898	0.8192687364
899	0.8191847291
900	0.8190776834
901	0.819041395
902	0.8189040337
903	0.8187949775
904	0.81873899
905	0.818625923
906	0.8185055444
907	0.8184098297
908	0.8183050483
909	0.8182021253
910	0.817918291
911	0.8178443981
912	0.8177060155
913	0.8175782802
914	0.8174314989
915	0.8173410837
916	0.8172247246
917	0.8171355963
918	0.8170484949
919	0.816960951
920	0.8168664567
921	0.8167895601
922	0.8167248545
923	0.8166271357
924	0.8165335388
925	0.8164421391
926	0.8163260039
927	0.8160684539
928	0.8160119678
929	0.8159004705
930	0.8158028017
931	0.8156733115
932	0.8155935943
933	0.8154948609
934	0.8153875266
935	0.8153288018
936	0.8150734214
937	0.8149850601
938	0.8149057116
939	0.8148111224
940	0.814673585
941	0.814586274
942	0.8144809991
943	0.8143961556
944	0.8143212432
945	0.8142179438
946	0.8141510608
947	0.8140346443
948	0.8139526227
949	0.8138437801
950	0.8137092702
951	0.8135681386
952	0.8134469634
953	0.8133519415
954	0.8132629031
955	0.8131485839
956	0.8130130302
957	0.8128937545
958	0.8128289986
959	0.8127414181
960	0.8125054842
961	0.8123843525
962	0.8122832275
963	0.8122279174
964	0.8121553743
965	0.812117625
966	0.8119730336
967	0.8118485478
968	0.8117412416
969	0.8116853725
970	0.8115897445
971	0.8114054959
972	0.8113160156
973	0.8112244464
974	0.8110774376
975	0.8110225071
976	0.8108991962
977	0.810780537
978	0.8106251672
979	0.8105412459
980	0.8104800883
981	0.8104008946
982	0.8102916054
983	0.8102470686
984	0.8101653276
985	0.8101245224
986	0.8100297433
987	0.809957966
988	0.8098961543
989	0.8097710168
990	0.8096409329
991	0.8095533987
992	0.8094772004
993	0.8093804523
994	0.8093281155
995	0.8092334099
996	0.809136609
997	0.8090857929
998	0.8090124396
999	0.8089558499
